Source,Target,Weight,Type
2477,3100,3,occurs_in_speaker_text
1034,3100,12,occurs_in_speaker_text
1788,3100,1,occurs_in_speaker_text
222,3100,1,occurs_in_speaker_text
1611,3100,2,occurs_in_speaker_text
1823,3100,1,occurs_in_speaker_text
1263,3100,1,occurs_in_speaker_text
2263,3100,1,occurs_in_speaker_text
752,3100,3,occurs_in_speaker_text
1072,3101,1,occurs_in_speaker_text
1611,3101,5,occurs_in_speaker_text
222,3101,8,occurs_in_speaker_text
666,3101,2,occurs_in_speaker_text
2095,3101,1,occurs_in_speaker_text
365,3101,1,occurs_in_speaker_text
1034,3101,2,occurs_in_speaker_text
2805,3101,4,occurs_in_speaker_text
2360,3101,5,occurs_in_speaker_text
168,3101,1,occurs_in_speaker_text
1250,3101,4,occurs_in_speaker_text
1263,3101,6,occurs_in_speaker_text
312,3101,2,occurs_in_speaker_text
2749,3101,1,occurs_in_speaker_text
891,3101,1,occurs_in_speaker_text
2380,3101,3,occurs_in_speaker_text
1238,3101,2,occurs_in_speaker_text
2477,3101,3,occurs_in_speaker_text
1823,3101,10,occurs_in_speaker_text
444,3101,1,occurs_in_speaker_text
2598,3101,1,occurs_in_speaker_text
258,3101,1,occurs_in_speaker_text
2518,3101,2,occurs_in_speaker_text
1631,3101,1,occurs_in_speaker_text
1576,3101,1,occurs_in_speaker_text
789,3101,1,occurs_in_speaker_text
1003,3101,1,occurs_in_speaker_text
350,3101,1,occurs_in_speaker_text
575,3101,1,occurs_in_speaker_text
179,3101,1,occurs_in_speaker_text
447,3101,1,occurs_in_speaker_text
1051,3101,1,occurs_in_speaker_text
317,3101,1,occurs_in_speaker_text
1197,3101,1,occurs_in_speaker_text
2336,3101,1,occurs_in_speaker_text
2134,3101,2,occurs_in_speaker_text
1521,3101,1,occurs_in_speaker_text
1673,3101,1,occurs_in_speaker_text
891,3102,1,occurs_in_speaker_text
666,3102,3,occurs_in_speaker_text
1034,3102,18,occurs_in_speaker_text
2360,3102,1,occurs_in_speaker_text
444,3102,1,occurs_in_speaker_text
228,3102,1,occurs_in_speaker_text
2902,3102,1,occurs_in_speaker_text
62,3102,1,occurs_in_speaker_text
856,3102,1,occurs_in_speaker_text
48,3102,1,occurs_in_speaker_text
2518,3102,2,occurs_in_speaker_text
2346,3102,1,occurs_in_speaker_text
2610,3102,1,occurs_in_speaker_text
1051,3102,1,occurs_in_speaker_text
1156,3102,1,occurs_in_speaker_text
2633,3102,1,occurs_in_speaker_text
575,3102,1,occurs_in_speaker_text
1034,3103,7,occurs_in_speaker_text
222,3103,1,occurs_in_speaker_text
616,3103,10,occurs_in_speaker_text
752,3103,1,occurs_in_speaker_text
1732,3103,9,occurs_in_speaker_text
752,3105,2,occurs_in_speaker_text
153,3105,2,occurs_in_speaker_text
3081,3105,2,occurs_in_speaker_text
1756,3105,1,occurs_in_speaker_text
2350,3105,1,occurs_in_speaker_text
666,3105,2,occurs_in_speaker_text
2360,3105,6,occurs_in_speaker_text
2951,3105,1,occurs_in_speaker_text
2048,3105,1,occurs_in_speaker_text
1034,3105,3,occurs_in_speaker_text
2346,3105,6,occurs_in_speaker_text
2591,3105,1,occurs_in_speaker_text
572,3105,1,occurs_in_speaker_text
1823,3105,1,occurs_in_speaker_text
1509,3105,1,occurs_in_speaker_text
1263,3105,1,occurs_in_speaker_text
2429,3106,1,occurs_in_speaker_text
1034,3106,11,occurs_in_speaker_text
2878,3106,2,occurs_in_speaker_text
222,3106,7,occurs_in_speaker_text
666,3106,1,occurs_in_speaker_text
2977,3106,1,occurs_in_speaker_text
1051,3106,1,occurs_in_speaker_text
2164,3106,1,occurs_in_speaker_text
2034,3106,1,occurs_in_speaker_text
1250,3106,1,occurs_in_speaker_text
856,3106,1,occurs_in_speaker_text
820,3107,1,occurs_in_speaker_text
666,3107,2,occurs_in_speaker_text
1034,3107,3,occurs_in_speaker_text
2633,3107,3,occurs_in_speaker_text
1495,3107,1,occurs_in_speaker_text
2518,3107,1,occurs_in_speaker_text
2590,3107,1,occurs_in_speaker_text
2360,3107,3,occurs_in_speaker_text
222,3107,8,occurs_in_speaker_text
2725,3107,1,occurs_in_speaker_text
2878,3107,1,occurs_in_speaker_text
304,3107,3,occurs_in_speaker_text
28,3107,2,occurs_in_speaker_text
148,3107,1,occurs_in_speaker_text
152,3107,1,occurs_in_speaker_text
2476,3107,1,occurs_in_speaker_text
513,3107,1,occurs_in_speaker_text
1655,3108,1,occurs_in_speaker_text
1250,3108,33,occurs_in_speaker_text
456,3108,1,occurs_in_speaker_text
1587,3108,2,occurs_in_speaker_text
2731,3108,1,occurs_in_speaker_text
1057,3108,2,occurs_in_speaker_text
622,3108,1,occurs_in_speaker_text
777,3108,1,occurs_in_speaker_text
1034,3109,8,occurs_in_speaker_text
2360,3109,1,occurs_in_speaker_text
3096,3109,1,occurs_in_speaker_text
1516,3109,1,occurs_in_speaker_text
1732,3109,1,occurs_in_speaker_text
1238,3109,1,occurs_in_speaker_text
222,3109,5,occurs_in_speaker_text
1404,3109,1,occurs_in_speaker_text
1250,3109,3,occurs_in_speaker_text
2878,3109,1,occurs_in_speaker_text
1611,3109,1,occurs_in_speaker_text
199,3109,1,occurs_in_speaker_text
752,3109,1,occurs_in_speaker_text
1924,3109,1,occurs_in_speaker_text
313,3109,1,occurs_in_speaker_text
932,3109,1,occurs_in_speaker_text
2999,3109,1,occurs_in_speaker_text
2869,3109,1,occurs_in_speaker_text
1656,3109,1,occurs_in_speaker_text
1051,3109,1,occurs_in_speaker_text
2477,3109,1,occurs_in_speaker_text
666,3109,1,occurs_in_speaker_text
1034,3110,1,occurs_in_speaker_text
1034,3111,5,occurs_in_speaker_text
616,3111,1,occurs_in_speaker_text
2805,3111,1,occurs_in_speaker_text
1316,3111,2,occurs_in_speaker_text
666,3111,8,occurs_in_speaker_text
2360,3111,1,occurs_in_speaker_text
856,3111,2,occurs_in_speaker_text
752,3111,2,occurs_in_speaker_text
2477,3111,2,occurs_in_speaker_text
1732,3111,2,occurs_in_speaker_text
2177,3111,1,occurs_in_speaker_text
2380,3111,1,occurs_in_speaker_text
1193,3111,1,occurs_in_speaker_text
1366,3111,1,occurs_in_speaker_text
1280,3111,1,occurs_in_speaker_text
1051,3111,1,occurs_in_speaker_text
1034,3112,14,occurs_in_speaker_text
2228,3112,1,occurs_in_speaker_text
2688,3112,1,occurs_in_speaker_text
3081,3112,1,occurs_in_speaker_text
1263,3112,1,occurs_in_speaker_text
2602,3112,1,occurs_in_speaker_text
1314,3112,1,occurs_in_speaker_text
2477,3112,1,occurs_in_speaker_text
197,3112,1,occurs_in_speaker_text
2548,3113,2,occurs_in_speaker_text
891,3113,2,occurs_in_speaker_text
2869,3113,1,occurs_in_speaker_text
1549,3113,1,occurs_in_speaker_text
2024,3113,1,occurs_in_speaker_text
2291,3114,1,occurs_in_speaker_text
1034,3114,14,occurs_in_speaker_text
752,3114,2,occurs_in_speaker_text
1429,3114,2,occurs_in_speaker_text
667,3114,1,occurs_in_speaker_text
2354,3114,1,occurs_in_speaker_text
3003,3114,1,occurs_in_speaker_text
1238,3114,1,occurs_in_speaker_text
770,3114,1,occurs_in_speaker_text
647,3114,1,occurs_in_speaker_text
2966,3114,1,occurs_in_speaker_text
1250,3114,1,occurs_in_speaker_text
2412,3114,2,occurs_in_speaker_text
666,3114,4,occurs_in_speaker_text
616,3114,13,occurs_in_speaker_text
1366,3114,1,occurs_in_speaker_text
2497,3114,1,occurs_in_speaker_text
1823,3114,1,occurs_in_speaker_text
2633,3114,1,occurs_in_speaker_text
1115,3114,1,occurs_in_speaker_text
222,3114,2,occurs_in_speaker_text
1087,3114,1,occurs_in_speaker_text
2477,3114,2,occurs_in_speaker_text
2774,3114,1,occurs_in_speaker_text
2050,3114,1,occurs_in_speaker_text
2822,3114,1,occurs_in_speaker_text
1051,3114,2,occurs_in_speaker_text
2184,3114,1,occurs_in_speaker_text
2060,3114,1,occurs_in_speaker_text
2373,3114,1,occurs_in_speaker_text
1349,3114,1,occurs_in_speaker_text
2346,3114,1,occurs_in_speaker_text
676,3114,1,occurs_in_speaker_text
868,3114,1,occurs_in_speaker_text
2360,3114,3,occurs_in_speaker_text
331,3114,1,occurs_in_speaker_text
395,3114,1,occurs_in_speaker_text
2536,3114,1,occurs_in_speaker_text
1359,3114,1,occurs_in_speaker_text
932,3114,3,occurs_in_speaker_text
891,3114,3,occurs_in_speaker_text
2369,3114,1,occurs_in_speaker_text
999,3114,1,occurs_in_speaker_text
1193,3114,1,occurs_in_speaker_text
1711,3114,1,occurs_in_speaker_text
1954,3114,1,occurs_in_speaker_text
2805,3114,3,occurs_in_speaker_text
666,3115,6,occurs_in_speaker_text
722,3115,1,occurs_in_speaker_text
1034,3115,3,occurs_in_speaker_text
1918,3115,2,occurs_in_speaker_text
264,3115,1,occurs_in_speaker_text
1316,3115,2,occurs_in_speaker_text
1212,3115,2,occurs_in_speaker_text
3092,3115,1,occurs_in_speaker_text
981,3115,1,occurs_in_speaker_text
2477,3115,8,occurs_in_speaker_text
1656,3115,4,occurs_in_speaker_text
1732,3115,5,occurs_in_speaker_text
891,3115,1,occurs_in_speaker_text
671,3115,1,occurs_in_speaker_text
562,3115,1,occurs_in_speaker_text
1193,3115,1,occurs_in_speaker_text
2360,3115,2,occurs_in_speaker_text
122,3115,1,occurs_in_speaker_text
609,3116,2,occurs_in_speaker_text
1913,3116,4,occurs_in_speaker_text
977,3116,1,occurs_in_speaker_text
666,3116,5,occurs_in_speaker_text
1556,3116,1,occurs_in_speaker_text
1034,3116,11,occurs_in_speaker_text
2095,3116,1,occurs_in_speaker_text
