Id,Label,Type
0,satyros,Lebensraum-Lemma
1,fryhling,Lebensraum-Lemma
2,felsenpaß,Lebensraum-Lemma
3,sandwüst,Lebensraum-Lemma
4,waldecke,Lebensraum-Lemma
5,wasgau,Lebensraum-Lemma
6,pazifischen,Lebensraum-Lemma
7,erdenschoß,Lebensraum-Lemma
8,todesthal,Lebensraum-Lemma
9,trübsal,Lebensraum-Lemma
10,blumental,Lebensraum-Lemma
11,terrasse,Lebensraum-Lemma
12,esplanat,Lebensraum-Lemma
13,niederbruch,Lebensraum-Lemma
14,täler,Lebensraum-Lemma
15,bismarckeiche,Lebensraum-Lemma
16,bergquell,Lebensraum-Lemma
17,salut,Lebensraum-Lemma
18,höllengeld,Lebensraum-Lemma
19,blüthenland,Lebensraum-Lemma
20,volksgarten,Lebensraum-Lemma
21,landstraßgraben,Lebensraum-Lemma
22,windeise,Lebensraum-Lemma
23,mondenschein,Lebensraum-Lemma
24,bergspitz,Lebensraum-Lemma
25,ostseestrand,Lebensraum-Lemma
26,gebirgswände,Lebensraum-Lemma
27,pflug,Lebensraum-Lemma
28,pferdehuf,Lebensraum-Lemma
29,land-volck,Lebensraum-Lemma
30,rheinfall,Lebensraum-Lemma
31,meeresgrund,Lebensraum-Lemma
32,goldfelder,Lebensraum-Lemma
33,nadroj,Lebensraum-Lemma
34,alpensaum,Lebensraum-Lemma
35,pyrenäenbäder,Lebensraum-Lemma
36,bergvorsprunge,Lebensraum-Lemma
37,olympus,Lebensraum-Lemma
38,inn,Lebensraum-Lemma
39,borne,Lebensraum-Lemma
40,rasenplatz,Lebensraum-Lemma
41,aetna,Lebensraum-Lemma
42,waldgewässer,Lebensraum-Lemma
43,baumstümpf,Lebensraum-Lemma
44,antinous,Lebensraum-Lemma
45,meergestatt,Lebensraum-Lemma
46,hald,Lebensraum-Lemma
47,flora,Lebensraum-Lemma
48,hüttchen,Lebensraum-Lemma
49,zittergruß,Lebensraum-Lemma
50,grenzland,Lebensraum-Lemma
51,taxushecken,Lebensraum-Lemma
52,wüst,Lebensraum-Lemma
53,weißdornhecke,Lebensraum-Lemma
54,geklüft,Lebensraum-Lemma
55,atlantis,Lebensraum-Lemma
56,hundsleiche,Lebensraum-Lemma
57,fiebergegenden,Lebensraum-Lemma
58,rabenstein,Lebensraum-Lemma
59,lebenstopf,Lebensraum-Lemma
60,gartenthür,Lebensraum-Lemma
61,zwischenreich,Lebensraum-Lemma
62,vorgrund,Lebensraum-Lemma
63,vintschgau,Lebensraum-Lemma
64,amazonen,Lebensraum-Lemma
65,gartenthüre,Lebensraum-Lemma
66,schlüfte,Lebensraum-Lemma
67,paradiesesland,Lebensraum-Lemma
68,föhrenwalde,Lebensraum-Lemma
69,felsborn,Lebensraum-Lemma
70,sumpfwege,Lebensraum-Lemma
71,eisgebirg,Lebensraum-Lemma
72,waldl,Lebensraum-Lemma
73,geheg,Lebensraum-Lemma
74,vesuve,Lebensraum-Lemma
75,brennern,Lebensraum-Lemma
76,felsenfeld,Lebensraum-Lemma
77,geheule,Lebensraum-Lemma
78,maienfeld,Lebensraum-Lemma
79,trudchen,Lebensraum-Lemma
80,weinsberg,Lebensraum-Lemma
81,weihr,Lebensraum-Lemma
82,west,Lebensraum-Lemma
83,landarmee,Lebensraum-Lemma
84,kiesplatz,Lebensraum-Lemma
85,eispol,Lebensraum-Lemma
86,felsgegend,Lebensraum-Lemma
87,heiligenkreuzerwald,Lebensraum-Lemma
88,schäferweide,Lebensraum-Lemma
89,ösel,Lebensraum-Lemma
90,lebensraum,Lebensraum-Lemma
91,meeresarm,Lebensraum-Lemma
92,rüben,Lebensraum-Lemma
93,rasend,Lebensraum-Lemma
94,füß,Lebensraum-Lemma
95,bälge,Lebensraum-Lemma
96,kanebee,Lebensraum-Lemma
97,seebald,Lebensraum-Lemma
98,languedoc,Lebensraum-Lemma
99,hühnerei,Lebensraum-Lemma
100,eisschollen,Lebensraum-Lemma
101,hochher,Lebensraum-Lemma
102,schilf,Lebensraum-Lemma
103,schilfgeräusch,Lebensraum-Lemma
104,lautenberg,Lebensraum-Lemma
105,rheinweinsäufer,Lebensraum-Lemma
106,landg'richt,Lebensraum-Lemma
107,bäum,Lebensraum-Lemma
108,land-pachter,Lebensraum-Lemma
109,grat,Lebensraum-Lemma
110,sternenmeere,Lebensraum-Lemma
111,schlangentödter,Lebensraum-Lemma
112,garte,Lebensraum-Lemma
113,mohrenland,Lebensraum-Lemma
114,himmelsbach,Lebensraum-Lemma
115,schweizerseen,Lebensraum-Lemma
116,weigenand,Lebensraum-Lemma
117,ostmark,Lebensraum-Lemma
118,thalie,Lebensraum-Lemma
119,schlünd,Lebensraum-Lemma
120,eisgebirge,Lebensraum-Lemma
121,landschade,Lebensraum-Lemma
