Source,Target,Weight,Type
2727,3320,2,occurs_in_speaker_text
3261,3320,15,occurs_in_speaker_text
1445,3320,1,occurs_in_speaker_text
770,3320,2,occurs_in_speaker_text
2211,3320,1,occurs_in_speaker_text
611,3320,1,occurs_in_speaker_text
1833,3320,1,occurs_in_speaker_text
2250,3320,1,occurs_in_speaker_text
3220,3320,1,occurs_in_speaker_text
3001,3320,4,occurs_in_speaker_text
196,3320,3,occurs_in_speaker_text
153,3320,1,occurs_in_speaker_text
885,3320,1,occurs_in_speaker_text
1205,3320,1,occurs_in_speaker_text
2854,3320,1,occurs_in_speaker_text
3210,3321,1,occurs_in_speaker_text
116,3321,1,occurs_in_speaker_text
2960,3321,2,occurs_in_speaker_text
2078,3321,1,occurs_in_speaker_text
345,3321,1,occurs_in_speaker_text
2727,3321,7,occurs_in_speaker_text
770,3321,5,occurs_in_speaker_text
1656,3321,1,occurs_in_speaker_text
2870,3321,2,occurs_in_speaker_text
1837,3321,3,occurs_in_speaker_text
2645,3321,1,occurs_in_speaker_text
2079,3321,1,occurs_in_speaker_text
3020,3321,1,occurs_in_speaker_text
766,3321,1,occurs_in_speaker_text
2841,3321,1,occurs_in_speaker_text
2235,3321,3,occurs_in_speaker_text
611,3321,1,occurs_in_speaker_text
1406,3321,1,occurs_in_speaker_text
2240,3321,3,occurs_in_speaker_text
1018,3321,2,occurs_in_speaker_text
65,3321,1,occurs_in_speaker_text
3261,3321,8,occurs_in_speaker_text
2423,3321,1,occurs_in_speaker_text
1176,3321,1,occurs_in_speaker_text
2755,3321,1,occurs_in_speaker_text
547,3321,1,occurs_in_speaker_text
1955,3321,1,occurs_in_speaker_text
3029,3321,1,occurs_in_speaker_text
2095,3321,1,occurs_in_speaker_text
395,3321,1,occurs_in_speaker_text
2025,3321,1,occurs_in_speaker_text
243,3321,1,occurs_in_speaker_text
2885,3321,1,occurs_in_speaker_text
2204,3321,3,occurs_in_speaker_text
3050,3321,1,occurs_in_speaker_text
196,3321,1,occurs_in_speaker_text
1845,3321,1,occurs_in_speaker_text
3281,3321,1,occurs_in_speaker_text
1308,3321,1,occurs_in_speaker_text
257,3322,1,occurs_in_speaker_text
752,3322,1,occurs_in_speaker_text
2568,3322,5,occurs_in_speaker_text
2105,3322,1,occurs_in_speaker_text
1002,3322,2,occurs_in_speaker_text
1174,3322,1,occurs_in_speaker_text
770,3322,1,occurs_in_speaker_text
2460,3322,1,occurs_in_speaker_text
2727,3322,1,occurs_in_speaker_text
66,3322,1,occurs_in_speaker_text
1885,3322,1,occurs_in_speaker_text
1720,3322,1,occurs_in_speaker_text
2727,3323,1,occurs_in_speaker_text
770,3323,3,occurs_in_speaker_text
1098,3323,1,occurs_in_speaker_text
2397,3323,1,occurs_in_speaker_text
989,3325,1,occurs_in_speaker_text
1841,3325,1,occurs_in_speaker_text
1055,3325,6,occurs_in_speaker_text
196,3325,6,occurs_in_speaker_text
111,3325,1,occurs_in_speaker_text
1391,3325,1,occurs_in_speaker_text
824,3325,1,occurs_in_speaker_text
2704,3325,1,occurs_in_speaker_text
2855,3325,1,occurs_in_speaker_text
2466,3325,1,occurs_in_speaker_text
2690,3325,1,occurs_in_speaker_text
699,3325,1,occurs_in_speaker_text
2977,3325,1,occurs_in_speaker_text
1443,3326,1,occurs_in_speaker_text
3261,3326,7,occurs_in_speaker_text
1564,3326,1,occurs_in_speaker_text
1886,3326,1,occurs_in_speaker_text
414,3326,1,occurs_in_speaker_text
256,3326,1,occurs_in_speaker_text
1423,3326,1,occurs_in_speaker_text
2499,3326,1,occurs_in_speaker_text
2476,3326,1,occurs_in_speaker_text
2849,3326,1,occurs_in_speaker_text
3044,3326,1,occurs_in_speaker_text
611,3326,1,occurs_in_speaker_text
153,3326,2,occurs_in_speaker_text
2093,3326,1,occurs_in_speaker_text
3232,3327,2,occurs_in_speaker_text
1018,3327,1,occurs_in_speaker_text
1780,3327,2,occurs_in_speaker_text
2079,3327,1,occurs_in_speaker_text
3143,3327,1,occurs_in_speaker_text
770,3327,2,occurs_in_speaker_text
940,3327,1,occurs_in_speaker_text
2515,3327,1,occurs_in_speaker_text
2915,3327,1,occurs_in_speaker_text
500,3327,1,occurs_in_speaker_text
2960,3327,1,occurs_in_speaker_text
3281,3327,1,occurs_in_speaker_text
196,3327,1,occurs_in_speaker_text
2676,3327,1,occurs_in_speaker_text
556,3327,2,occurs_in_speaker_text
1051,3327,1,occurs_in_speaker_text
2732,3327,1,occurs_in_speaker_text
1908,3327,1,occurs_in_speaker_text
1313,3327,1,occurs_in_speaker_text
952,3327,4,occurs_in_speaker_text
2977,3327,1,occurs_in_speaker_text
331,3327,1,occurs_in_speaker_text
2727,3327,1,occurs_in_speaker_text
2568,3328,2,occurs_in_speaker_text
3005,3328,1,occurs_in_speaker_text
2841,3329,5,occurs_in_speaker_text
2166,3329,1,occurs_in_speaker_text
3261,3329,3,occurs_in_speaker_text
2727,3329,5,occurs_in_speaker_text
1833,3329,1,occurs_in_speaker_text
115,3329,1,occurs_in_speaker_text
1804,3329,1,occurs_in_speaker_text
2728,3329,1,occurs_in_speaker_text
2849,3329,1,occurs_in_speaker_text
1837,3329,1,occurs_in_speaker_text
616,3329,3,occurs_in_speaker_text
196,3329,1,occurs_in_speaker_text
2833,3329,1,occurs_in_speaker_text
2371,3329,1,occurs_in_speaker_text
1406,3329,1,occurs_in_speaker_text
2391,3329,2,occurs_in_speaker_text
1175,3329,1,occurs_in_speaker_text
1398,3329,1,occurs_in_speaker_text
153,3329,2,occurs_in_speaker_text
201,3329,1,occurs_in_speaker_text
2738,3329,1,occurs_in_speaker_text
3237,3329,1,occurs_in_speaker_text
2652,3329,2,occurs_in_speaker_text
1018,3329,1,occurs_in_speaker_text
1699,3329,1,occurs_in_speaker_text
1111,3329,1,occurs_in_speaker_text
2755,3329,2,occurs_in_speaker_text
2402,3329,1,occurs_in_speaker_text
2989,3329,1,occurs_in_speaker_text
2235,3329,1,occurs_in_speaker_text
3125,3331,3,occurs_in_speaker_text
781,3331,1,occurs_in_speaker_text
626,3331,1,occurs_in_speaker_text
3232,3331,2,occurs_in_speaker_text
352,3331,1,occurs_in_speaker_text
658,3331,1,occurs_in_speaker_text
2235,3331,1,occurs_in_speaker_text
1833,3331,1,occurs_in_speaker_text
2841,3331,2,occurs_in_speaker_text
413,3331,2,occurs_in_speaker_text
378,3331,3,occurs_in_speaker_text
3044,3331,2,occurs_in_speaker_text
1707,3331,1,occurs_in_speaker_text
770,3331,2,occurs_in_speaker_text
1429,3331,1,occurs_in_speaker_text
2727,3331,3,occurs_in_speaker_text
153,3331,1,occurs_in_speaker_text
2231,3331,1,occurs_in_speaker_text
1098,3331,1,occurs_in_speaker_text
3020,3331,1,occurs_in_speaker_text
756,3331,1,occurs_in_speaker_text
1691,3331,1,occurs_in_speaker_text
2833,3331,1,occurs_in_speaker_text
1425,3331,1,occurs_in_speaker_text
2261,3331,1,occurs_in_speaker_text
532,3332,1,occurs_in_speaker_text
2706,3332,1,occurs_in_speaker_text
770,3332,1,occurs_in_speaker_text
2727,3332,2,occurs_in_speaker_text
153,3332,1,occurs_in_speaker_text
3261,3332,3,occurs_in_speaker_text
2755,3332,2,occurs_in_speaker_text
2704,3332,1,occurs_in_speaker_text
2235,3333,1,occurs_in_speaker_text
1710,3334,1,occurs_in_speaker_text
1895,3334,1,occurs_in_speaker_text
153,3334,1,occurs_in_speaker_text
3182,3334,1,occurs_in_speaker_text
2972,3334,1,occurs_in_speaker_text
1827,3334,1,occurs_in_speaker_text
1967,3334,1,occurs_in_speaker_text
1489,3334,1,occurs_in_speaker_text
468,3334,1,occurs_in_speaker_text
2235,3334,4,occurs_in_speaker_text
1607,3334,1,occurs_in_speaker_text
1261,3334,3,occurs_in_speaker_text
541,3334,1,occurs_in_speaker_text
770,3334,1,occurs_in_speaker_text
54,3334,1,occurs_in_speaker_text
821,3334,1,occurs_in_speaker_text
151,3334,1,occurs_in_speaker_text
3103,3334,1,occurs_in_speaker_text
291,3334,1,occurs_in_speaker_text
3029,3334,1,occurs_in_speaker_text
990,3334,14,occurs_in_speaker_text
1851,3334,1,occurs_in_speaker_text
509,3334,1,occurs_in_speaker_text
2727,3334,2,occurs_in_speaker_text
3278,3334,1,occurs_in_speaker_text
2521,3335,1,occurs_in_speaker_text
2433,3335,1,occurs_in_speaker_text
1833,3335,1,occurs_in_speaker_text
2612,3335,1,occurs_in_speaker_text
2727,3335,2,occurs_in_speaker_text
2120,3335,1,occurs_in_speaker_text
196,3335,1,occurs_in_speaker_text
3299,3335,1,occurs_in_speaker_text
3020,3335,1,occurs_in_speaker_text
2235,3335,3,occurs_in_speaker_text
1837,3335,2,occurs_in_speaker_text
153,3335,1,occurs_in_speaker_text
854,3335,1,occurs_in_speaker_text
946,3335,1,occurs_in_speaker_text
3281,3335,1,occurs_in_speaker_text
624,3335,1,occurs_in_speaker_text
