Id,Label,Type
0,aestchen,Pflanze-Lemma
1,raunen,Pflanze-Lemma
2,fryhling,Pflanze-Lemma
3,zw,Pflanze-Lemma
4,stammel,Pflanze-Lemma
5,fent,Pflanze-Lemma
6,korn-ähre,Pflanze-Lemma
7,blumenschmelz,Pflanze-Lemma
8,anemonröschen,Pflanze-Lemma
9,herzendaus,Pflanze-Lemma
10,strohm,Pflanze-Lemma
11,olivenernt,Pflanze-Lemma
12,salut,Pflanze-Lemma
13,korbe,Pflanze-Lemma
14,rosenessenz,Pflanze-Lemma
15,pflug,Pflanze-Lemma
16,ginnistan,Pflanze-Lemma
17,weidenrute,Pflanze-Lemma
18,bernhäuter,Pflanze-Lemma
19,schalen,Pflanze-Lemma
20,erwerbzweige,Pflanze-Lemma
21,drachenzahn,Pflanze-Lemma
22,weizenkorn,Pflanze-Lemma
23,birkenpflanzung,Pflanze-Lemma
24,grät,Pflanze-Lemma
25,blütenstaub,Pflanze-Lemma
26,marquard,Pflanze-Lemma
27,rosen-frisches,Pflanze-Lemma
28,herbsten,Pflanze-Lemma
29,stöhr,Pflanze-Lemma
30,baumstümpf,Pflanze-Lemma
31,theudelinde,Pflanze-Lemma
32,myrtilus,Pflanze-Lemma
33,farr,Pflanze-Lemma
34,flora,Pflanze-Lemma
35,stämm,Pflanze-Lemma
36,paravent,Pflanze-Lemma
37,lorberbaum,Pflanze-Lemma
38,myrtillen,Pflanze-Lemma
39,miste,Pflanze-Lemma
40,zyankali,Pflanze-Lemma
41,weißdornhecke,Pflanze-Lemma
42,purpurblumen,Pflanze-Lemma
43,chio,Pflanze-Lemma
44,blüh,Pflanze-Lemma
45,buschenlaube,Pflanze-Lemma
46,dornendickicht,Pflanze-Lemma
47,kameel,Pflanze-Lemma
48,schößlinge,Pflanze-Lemma
49,acheron,Pflanze-Lemma
50,cocospalm,Pflanze-Lemma
51,geryche,Pflanze-Lemma
52,ungetüm,Pflanze-Lemma
53,lilienblum,Pflanze-Lemma
54,amazonen,Pflanze-Lemma
55,guckäugelein,Pflanze-Lemma
56,strohmandl,Pflanze-Lemma
57,rosenkron,Pflanze-Lemma
58,spirwes,Pflanze-Lemma
59,stammbäumer,Pflanze-Lemma
60,sandelholz,Pflanze-Lemma
61,muskatblüt,Pflanze-Lemma
62,holunderbaum,Pflanze-Lemma
63,aschenweib,Pflanze-Lemma
64,mahom,Pflanze-Lemma
65,büschel,Pflanze-Lemma
66,erdäpfel,Pflanze-Lemma
67,fruchtbod,Pflanze-Lemma
68,kaiserrose,Pflanze-Lemma
69,zitterperle,Pflanze-Lemma
70,damon,Pflanze-Lemma
71,stammbaums-geschichte,Pflanze-Lemma
72,gänsefed,Pflanze-Lemma
73,purpurwurzeln,Pflanze-Lemma
74,ambivar,Pflanze-Lemma
75,trennungs-eiche,Pflanze-Lemma
76,körnlein,Pflanze-Lemma
77,siedfrücht,Pflanze-Lemma
78,rüben,Pflanze-Lemma
79,myrt,Pflanze-Lemma
80,aquitanie,Pflanze-Lemma
81,rasend,Pflanze-Lemma
82,bälge,Pflanze-Lemma
83,immenblatt,Pflanze-Lemma
84,schafgarb,Pflanze-Lemma
85,baumgut,Pflanze-Lemma
86,linden-krone,Pflanze-Lemma
87,pappelzitterzweige,Pflanze-Lemma
88,wucherüberfluß,Pflanze-Lemma
89,schilf,Pflanze-Lemma
90,nepenthe,Pflanze-Lemma
91,epithalamium,Pflanze-Lemma
92,erdbirn,Pflanze-Lemma
93,gauklerblume,Pflanze-Lemma
94,lindenholz,Pflanze-Lemma
95,schenk,Pflanze-Lemma
96,grashalm,Pflanze-Lemma
97,trüffeln,Pflanze-Lemma
98,pfirsichbaum,Pflanze-Lemma
99,bim-baum-bimmel,Pflanze-Lemma
100,blumentopf,Pflanze-Lemma
101,bäum,Pflanze-Lemma
102,olivenlaub,Pflanze-Lemma
103,ecclypsis,Pflanze-Lemma
104,birnbeim,Pflanze-Lemma
105,feigenblättcn,Pflanze-Lemma
106,hauhechel,Pflanze-Lemma
107,minschen,Pflanze-Lemma
108,weihnachtsbaum,Pflanze-Lemma
109,laubgeflecht,Pflanze-Lemma
110,stinkwurz,Pflanze-Lemma
111,parapluiemacher,Pflanze-Lemma
112,melis,Pflanze-Lemma
113,abderit,Pflanze-Lemma
114,mönchskutte,Pflanze-Lemma
115,karna,Pflanze-Lemma
116,weide,Pflanze-Lemma
117,getreide,Pflanze-Lemma
118,buchenallee,Pflanze-Lemma
119,eos,Pflanze-Lemma
120,aecker,Pflanze-Lemma
121,arbeet,Pflanze-Lemma
122,ambradüfte,Pflanze-Lemma
123,obstbäum,Pflanze-Lemma
124,rebengehang,Pflanze-Lemma
125,myrthen-kränze,Pflanze-Lemma
126,pflockes,Pflanze-Lemma
127,mistraun,Pflanze-Lemma
128,ball,Pflanze-Lemma
129,nagelwurzen,Pflanze-Lemma
130,dräu,Pflanze-Lemma
131,weimutsficht,Pflanze-Lemma
132,gattung,Pflanze-Lemma
133,gysar,Pflanze-Lemma
134,labetrunk,Pflanze-Lemma
135,katzenäugelein,Pflanze-Lemma
136,fünffingerkraut,Pflanze-Lemma
137,heuser,Pflanze-Lemma
138,traufe,Pflanze-Lemma
139,äffch,Pflanze-Lemma
140,tannensamen,Pflanze-Lemma
141,lelio,Pflanze-Lemma
142,gänsekiel,Pflanze-Lemma
143,blütenstrauß,Pflanze-Lemma
144,äskulap,Pflanze-Lemma
145,stockrose,Pflanze-Lemma
146,feuerblum,Pflanze-Lemma
147,lappalie,Pflanze-Lemma
148,rosenbüschen,Pflanze-Lemma
149,lindenbaum,Pflanze-Lemma
150,kernweib,Pflanze-Lemma
151,weinstöcke,Pflanze-Lemma
152,zweigesang,Pflanze-Lemma
153,rose,Pflanze-Lemma
154,lindenblüt,Pflanze-Lemma
155,paradeisäpfel,Pflanze-Lemma
156,grünrock,Pflanze-Lemma
157,tabakspfeif,Pflanze-Lemma
158,blumenvasen,Pflanze-Lemma
159,rosenkranz,Pflanze-Lemma
160,heckelberg,Pflanze-Lemma
161,kanaan,Pflanze-Lemma
162,zephir,Pflanze-Lemma
163,büsche,Pflanze-Lemma
164,blätterschmuck,Pflanze-Lemma
165,sellerie,Pflanze-Lemma
166,rosendüfte,Pflanze-Lemma
167,actien,Pflanze-Lemma
168,ährenwog,Pflanze-Lemma
169,zephyrssäule,Pflanze-Lemma
170,meroe,Pflanze-Lemma
171,aslauga's,Pflanze-Lemma
172,apfelschimmel,Pflanze-Lemma
173,hafe,Pflanze-Lemma
174,flammenbusch,Pflanze-Lemma
175,laubs,Pflanze-Lemma
176,baumstumpf,Pflanze-Lemma
177,blättergrün,Pflanze-Lemma
178,läut,Pflanze-Lemma
179,pappelzweig,Pflanze-Lemma
180,lewen,Pflanze-Lemma
181,käse,Pflanze-Lemma
182,zichorie,Pflanze-Lemma
183,wunderblumen,Pflanze-Lemma
184,ros'n,Pflanze-Lemma
185,eigengrün,Pflanze-Lemma
186,heuschober,Pflanze-Lemma
187,apfelmus,Pflanze-Lemma
188,laubengang,Pflanze-Lemma
189,haidegewäch,Pflanze-Lemma
190,haselnüsse,Pflanze-Lemma
191,gartenkraut,Pflanze-Lemma
192,farnsam,Pflanze-Lemma
193,pelidenkranz,Pflanze-Lemma
194,maienblume,Pflanze-Lemma
195,anana,Pflanze-Lemma
196,wein,Pflanze-Lemma
197,beyspil,Pflanze-Lemma
198,tantalusqual,Pflanze-Lemma
199,schwesterblumen,Pflanze-Lemma
200,heldenthume,Pflanze-Lemma
201,pfirsich,Pflanze-Lemma
202,kreuz,Pflanze-Lemma
203,wildling,Pflanze-Lemma
204,aste,Pflanze-Lemma
205,zauberbaume,Pflanze-Lemma
206,schwert,Pflanze-Lemma
207,szepter,Pflanze-Lemma
208,rosenpflück,Pflanze-Lemma
209,cypres,Pflanze-Lemma
210,lotosblüte,Pflanze-Lemma
211,grasbod,Pflanze-Lemma
212,stamm-baum,Pflanze-Lemma
213,beere,Pflanze-Lemma
214,rosekohl,Pflanze-Lemma
215,dornenlabyrinth,Pflanze-Lemma
216,wasserrose,Pflanze-Lemma
217,samenkornes,Pflanze-Lemma
218,rosendorn,Pflanze-Lemma
219,meuternd,Pflanze-Lemma
220,ranunkelwurzel,Pflanze-Lemma
221,urbaum,Pflanze-Lemma
222,heil'ge,Pflanze-Lemma
223,kaiserthron,Pflanze-Lemma
224,sträußchen,Pflanze-Lemma
225,feigenblätter,Pflanze-Lemma
226,laubgäng,Pflanze-Lemma
227,blumenstand,Pflanze-Lemma
228,sagschat,Pflanze-Lemma
229,vogelbeiz,Pflanze-Lemma
230,regengrünnasse,Pflanze-Lemma
231,livree,Pflanze-Lemma
232,spinnenkraut,Pflanze-Lemma
233,liebesäpfel,Pflanze-Lemma
234,haferl,Pflanze-Lemma
235,montium,Pflanze-Lemma
236,schauderweib,Pflanze-Lemma
237,liebeskuß,Pflanze-Lemma
238,heubodn,Pflanze-Lemma
239,bahwoll,Pflanze-Lemma
240,sträußel,Pflanze-Lemma
241,strauche,Pflanze-Lemma
242,banane,Pflanze-Lemma
243,blumenstöck,Pflanze-Lemma
244,quecksilberblüt,Pflanze-Lemma
245,saatkorn,Pflanze-Lemma
246,tetinbeer,Pflanze-Lemma
247,espenbäumen,Pflanze-Lemma
248,krähe,Pflanze-Lemma
249,alpenrose,Pflanze-Lemma
250,pflanzunge,Pflanze-Lemma
251,astel,Pflanze-Lemma
252,horaz,Pflanze-Lemma
253,holunderstrauch,Pflanze-Lemma
254,schutres,Pflanze-Lemma
255,rosen-geryche,Pflanze-Lemma
256,lavendel,Pflanze-Lemma
257,ast,Pflanze-Lemma
258,théâtre-francais,Pflanze-Lemma
259,baumes,Pflanze-Lemma
260,ästge,Pflanze-Lemma
261,rittersporn«-weis,Pflanze-Lemma
262,haselstab,Pflanze-Lemma
263,grastafel,Pflanze-Lemma
264,gränzabtheilung,Pflanze-Lemma
265,astloch,Pflanze-Lemma
266,beb,Pflanze-Lemma
267,kiefernforst,Pflanze-Lemma
268,apfelsine,Pflanze-Lemma
269,zephyrs,Pflanze-Lemma
270,schnaderhüpfel,Pflanze-Lemma
271,giftkraut,Pflanze-Lemma
272,pflock,Pflanze-Lemma
273,palmesel,Pflanze-Lemma
274,anemon,Pflanze-Lemma
275,alpenfrucht,Pflanze-Lemma
276,pinienapfel,Pflanze-Lemma
277,limmel,Pflanze-Lemma
278,gänseblümchen,Pflanze-Lemma
279,gräul's,Pflanze-Lemma
280,zuleima,Pflanze-Lemma
281,bruderpalm,Pflanze-Lemma
282,reiherbüschen,Pflanze-Lemma
283,schlendrian,Pflanze-Lemma
284,gewächshause,Pflanze-Lemma
285,seidenwurm,Pflanze-Lemma
286,frühlings-knospe,Pflanze-Lemma
