Source,Target,Weight,Type
2972,5091,1,occurs_in_speaker_text
4622,5091,1,occurs_in_speaker_text
3635,5091,1,occurs_in_speaker_text
2458,5091,2,occurs_in_speaker_text
4988,5091,1,occurs_in_speaker_text
275,5091,1,occurs_in_speaker_text
4923,5092,2,occurs_in_speaker_text
1331,5092,2,occurs_in_speaker_text
4003,5092,8,occurs_in_speaker_text
4119,5092,1,occurs_in_speaker_text
2868,5092,2,occurs_in_speaker_text
1257,5092,1,occurs_in_speaker_text
1859,5092,4,occurs_in_speaker_text
2485,5092,13,occurs_in_speaker_text
1536,5092,1,occurs_in_speaker_text
4006,5092,1,occurs_in_speaker_text
4267,5092,1,occurs_in_speaker_text
3920,5092,1,occurs_in_speaker_text
1196,5092,1,occurs_in_speaker_text
2538,5092,2,occurs_in_speaker_text
549,5092,1,occurs_in_speaker_text
4066,5092,1,occurs_in_speaker_text
1637,5092,2,occurs_in_speaker_text
1999,5092,5,occurs_in_speaker_text
3981,5092,1,occurs_in_speaker_text
2935,5092,1,occurs_in_speaker_text
4724,5092,2,occurs_in_speaker_text
4124,5092,1,occurs_in_speaker_text
3506,5092,1,occurs_in_speaker_text
3274,5092,1,occurs_in_speaker_text
4795,5092,3,occurs_in_speaker_text
3150,5092,1,occurs_in_speaker_text
3773,5092,2,occurs_in_speaker_text
4368,5092,1,occurs_in_speaker_text
80,5092,2,occurs_in_speaker_text
3814,5092,1,occurs_in_speaker_text
4970,5092,1,occurs_in_speaker_text
4286,5092,1,occurs_in_speaker_text
1725,5092,1,occurs_in_speaker_text
2629,5092,1,occurs_in_speaker_text
5077,5092,1,occurs_in_speaker_text
2172,5092,1,occurs_in_speaker_text
234,5092,2,occurs_in_speaker_text
1024,5092,1,occurs_in_speaker_text
2493,5093,4,occurs_in_speaker_text
3354,5093,1,occurs_in_speaker_text
4635,5093,1,occurs_in_speaker_text
3975,5093,1,occurs_in_speaker_text
2240,5093,5,occurs_in_speaker_text
2870,5093,1,occurs_in_speaker_text
55,5093,1,occurs_in_speaker_text
811,5093,2,occurs_in_speaker_text
4576,5093,2,occurs_in_speaker_text
329,5093,1,occurs_in_speaker_text
4018,5093,2,occurs_in_speaker_text
822,5093,1,occurs_in_speaker_text
4655,5093,1,occurs_in_speaker_text
3010,5093,1,occurs_in_speaker_text
1064,5093,1,occurs_in_speaker_text
1666,5093,1,occurs_in_speaker_text
4003,5093,1,occurs_in_speaker_text
4368,5093,1,occurs_in_speaker_text
3912,5093,1,occurs_in_speaker_text
1724,5093,1,occurs_in_speaker_text
1157,5093,1,occurs_in_speaker_text
1768,5093,1,occurs_in_speaker_text
1515,5093,2,occurs_in_speaker_text
1232,5093,2,occurs_in_speaker_text
3034,5093,1,occurs_in_speaker_text
2750,5093,1,occurs_in_speaker_text
4576,5094,3,occurs_in_speaker_text
4945,5094,1,occurs_in_speaker_text
4100,5094,1,occurs_in_speaker_text
1424,5094,1,occurs_in_speaker_text
2515,5094,1,occurs_in_speaker_text
3617,5094,2,occurs_in_speaker_text
3207,5094,1,occurs_in_speaker_text
4176,5094,1,occurs_in_speaker_text
841,5094,1,occurs_in_speaker_text
4030,5094,1,occurs_in_speaker_text
3503,5094,1,occurs_in_speaker_text
2629,5094,1,occurs_in_speaker_text
1331,5094,3,occurs_in_speaker_text
4368,5094,1,occurs_in_speaker_text
4327,5094,1,occurs_in_speaker_text
2834,5094,1,occurs_in_speaker_text
1999,5094,2,occurs_in_speaker_text
2866,5094,1,occurs_in_speaker_text
4491,5094,1,occurs_in_speaker_text
1144,5094,1,occurs_in_speaker_text
4407,5094,1,occurs_in_speaker_text
1759,5095,1,occurs_in_speaker_text
2958,5096,2,occurs_in_speaker_text
4556,5096,1,occurs_in_speaker_text
1515,5096,2,occurs_in_speaker_text
1739,5096,1,occurs_in_speaker_text
4368,5096,2,occurs_in_speaker_text
4018,5096,1,occurs_in_speaker_text
4228,5096,1,occurs_in_speaker_text
4003,5096,1,occurs_in_speaker_text
2082,5096,1,occurs_in_speaker_text
3661,5096,1,occurs_in_speaker_text
1041,5096,1,occurs_in_speaker_text
811,5096,1,occurs_in_speaker_text
57,5096,1,occurs_in_speaker_text
2312,5096,1,occurs_in_speaker_text
1536,5096,1,occurs_in_speaker_text
1459,5096,1,occurs_in_speaker_text
3111,5096,1,occurs_in_speaker_text
1895,5096,1,occurs_in_speaker_text
4,5096,1,occurs_in_speaker_text
4887,5096,2,occurs_in_speaker_text
3012,5096,1,occurs_in_speaker_text
234,5097,2,occurs_in_speaker_text
1431,5097,1,occurs_in_speaker_text
1474,5097,1,occurs_in_speaker_text
863,5097,1,occurs_in_speaker_text
4040,5097,2,occurs_in_speaker_text
1536,5097,2,occurs_in_speaker_text
3964,5097,1,occurs_in_speaker_text
415,5097,1,occurs_in_speaker_text
1310,5097,1,occurs_in_speaker_text
1239,5097,1,occurs_in_speaker_text
3864,5097,1,occurs_in_speaker_text
1999,5097,2,occurs_in_speaker_text
1001,5097,1,occurs_in_speaker_text
2567,5097,1,occurs_in_speaker_text
4709,5097,1,occurs_in_speaker_text
2773,5097,1,occurs_in_speaker_text
1391,5097,1,occurs_in_speaker_text
942,5097,1,occurs_in_speaker_text
3150,5098,1,occurs_in_speaker_text
4003,5098,5,occurs_in_speaker_text
345,5098,2,occurs_in_speaker_text
3712,5098,1,occurs_in_speaker_text
2306,5098,1,occurs_in_speaker_text
3987,5098,4,occurs_in_speaker_text
1275,5098,1,occurs_in_speaker_text
942,5098,7,occurs_in_speaker_text
629,5098,1,occurs_in_speaker_text
811,5098,1,occurs_in_speaker_text
234,5098,1,occurs_in_speaker_text
4103,5098,1,occurs_in_speaker_text
863,5098,1,occurs_in_speaker_text
2809,5098,1,occurs_in_speaker_text
389,5098,1,occurs_in_speaker_text
1637,5098,2,occurs_in_speaker_text
2766,5098,1,occurs_in_speaker_text
3326,5098,1,occurs_in_speaker_text
4576,5098,1,occurs_in_speaker_text
33,5098,1,occurs_in_speaker_text
2398,5098,1,occurs_in_speaker_text
