Id,Label,Type
0,milliardärsbaby,Tier-Lemma
1,bonoso,Tier-Lemma
2,hai,Tier-Lemma
3,winckel,Tier-Lemma
4,bäumscheibel,Tier-Lemma
5,brems'n,Tier-Lemma
6,purpurblüt,Tier-Lemma
7,beuteltiere,Tier-Lemma
8,jetzo,Tier-Lemma
9,bulldogge,Tier-Lemma
10,roagagräfin,Tier-Lemma
11,aasgeier,Tier-Lemma
12,erzschwein,Tier-Lemma
13,bacio,Tier-Lemma
14,haiducke,Tier-Lemma
15,strahlengefied,Tier-Lemma
16,edelfalk,Tier-Lemma
17,hundes-zähne,Tier-Lemma
18,bocksschlauch,Tier-Lemma
19,redegonda,Tier-Lemma
20,mädln,Tier-Lemma
21,hünerhunde,Tier-Lemma
22,fuchsschliche,Tier-Lemma
23,schellengebimmel,Tier-Lemma
24,gänserich,Tier-Lemma
25,kameel,Tier-Lemma
26,leu'n,Tier-Lemma
27,glied,Tier-Lemma
28,frohne,Tier-Lemma
29,nifo,Tier-Lemma
30,schindersknecht,Tier-Lemma
31,fröschlein,Tier-Lemma
32,schweinigel,Tier-Lemma
33,ochse,Tier-Lemma
34,ulfo,Tier-Lemma
35,omphal,Tier-Lemma
36,körnlein,Tier-Lemma
37,aesculapius,Tier-Lemma
38,fischerweiber,Tier-Lemma
39,füß,Tier-Lemma
40,spezies,Tier-Lemma
41,greifen,Tier-Lemma
42,strolche,Tier-Lemma
43,cyrille,Tier-Lemma
44,würmlein,Tier-Lemma
45,stieresnacke,Tier-Lemma
46,ent,Tier-Lemma
47,pful,Tier-Lemma
48,codru,Tier-Lemma
49,fuchsin,Tier-Lemma
50,bauche,Tier-Lemma
51,ecclypsis,Tier-Lemma
52,cassa,Tier-Lemma
53,möchen,Tier-Lemma
54,milb,Tier-Lemma
55,felleise,Tier-Lemma
56,lumpensammler,Tier-Lemma
57,parapluiemacher,Tier-Lemma
58,langschenkel,Tier-Lemma
59,karolinche,Tier-Lemma
60,kuhhirt,Tier-Lemma
61,riesengeier,Tier-Lemma
62,taubenschwärmen,Tier-Lemma
63,senta,Tier-Lemma
64,paroxysmus,Tier-Lemma
65,zugvögel,Tier-Lemma
66,samūm,Tier-Lemma
67,agraffe,Tier-Lemma
68,rüffel,Tier-Lemma
69,harrison,Tier-Lemma
70,macula,Tier-Lemma
71,blinddarm,Tier-Lemma
72,brandfuch,Tier-Lemma
73,sprudelkopf,Tier-Lemma
74,gergesener-schwein,Tier-Lemma
75,heuschober,Tier-Lemma
76,filius,Tier-Lemma
77,fischbein,Tier-Lemma
78,plauen,Tier-Lemma
79,seeadler,Tier-Lemma
80,krebs,Tier-Lemma
81,würmchen,Tier-Lemma
82,schaafe,Tier-Lemma
83,schafvieh,Tier-Lemma
84,eselin,Tier-Lemma
85,pfirsich,Tier-Lemma
86,flügeldecke,Tier-Lemma
87,wildling,Tier-Lemma
88,stekkenpferden,Tier-Lemma
89,jhn,Tier-Lemma
90,wildn,Tier-Lemma
91,vlies,Tier-Lemma
92,maronit,Tier-Lemma
93,tüchlode,Tier-Lemma
94,gierde,Tier-Lemma
95,parches,Tier-Lemma
96,ehrgeiz,Tier-Lemma
97,soley,Tier-Lemma
98,wüstenvogel,Tier-Lemma
99,löw,Tier-Lemma
100,quäler,Tier-Lemma
101,lakaien,Tier-Lemma
102,pandur,Tier-Lemma
103,huhn,Tier-Lemma
104,schnäbel,Tier-Lemma
105,ruthe,Tier-Lemma
106,notarigus,Tier-Lemma
107,schafspelz,Tier-Lemma
108,vögelheer,Tier-Lemma
109,schweine-natur,Tier-Lemma
110,finkenmäuslin,Tier-Lemma
111,styx,Tier-Lemma
112,zund,Tier-Lemma
113,regenboge,Tier-Lemma
114,pippin,Tier-Lemma
115,lerchenvögel,Tier-Lemma
116,odoardo,Tier-Lemma
117,rehn,Tier-Lemma
118,bienchen,Tier-Lemma
119,schandarme,Tier-Lemma
120,ueberbein,Tier-Lemma
121,stockfisch-monopolist,Tier-Lemma
122,laridondon,Tier-Lemma
123,wurzelweiber,Tier-Lemma
124,feuerfuch,Tier-Lemma
125,lüüs,Tier-Lemma
126,piperhahn,Tier-Lemma
127,speckhal,Tier-Lemma
128,fotölchs,Tier-Lemma
129,schmeißflieg,Tier-Lemma
130,vampire,Tier-Lemma
131,virum,Tier-Lemma
132,voll,Tier-Lemma
133,fischchen,Tier-Lemma
134,reuter,Tier-Lemma
135,flieh,Tier-Lemma
136,cyrill,Tier-Lemma
137,stumper,Tier-Lemma
138,gorilla,Tier-Lemma
139,larve,Tier-Lemma
140,pferdefleisch,Tier-Lemma
141,mann,Tier-Lemma
142,viecher,Tier-Lemma
143,dohle,Tier-Lemma
144,pfauenauges,Tier-Lemma
145,ottern,Tier-Lemma
146,bein,Tier-Lemma
147,gustav,Tier-Lemma
148,kratzpfot,Tier-Lemma
149,nachtgeflügel,Tier-Lemma
150,tigertier,Tier-Lemma
151,rassepferd,Tier-Lemma
152,gschmeidler,Tier-Lemma
153,peruck,Tier-Lemma
154,schwanze,Tier-Lemma
155,saphir,Tier-Lemma
156,rücken,Tier-Lemma
157,luitprand,Tier-Lemma
158,gartenschneck,Tier-Lemma
159,neveu,Tier-Lemma
160,primislau,Tier-Lemma
161,slave,Tier-Lemma
162,fuchs,Tier-Lemma
163,schnurrbärt,Tier-Lemma
164,windhunde,Tier-Lemma
165,horst,Tier-Lemma
166,ebern,Tier-Lemma
167,adlerschnabel,Tier-Lemma
168,schmetterlingslarve,Tier-Lemma
169,taubenklee,Tier-Lemma
170,bauchfell,Tier-Lemma
171,biestern,Tier-Lemma
172,hornisse,Tier-Lemma
173,viecherseele,Tier-Lemma
174,uud,Tier-Lemma
175,vögerl,Tier-Lemma
176,rockfor,Tier-Lemma
177,zeus,Tier-Lemma
178,springhase,Tier-Lemma
179,muschen,Tier-Lemma
180,borotin,Tier-Lemma
181,avis,Tier-Lemma
182,tyger,Tier-Lemma
183,brosämchen,Tier-Lemma
184,ambrois,Tier-Lemma
185,spürer,Tier-Lemma
186,finke,Tier-Lemma
187,mareskotti,Tier-Lemma
188,rehlein,Tier-Lemma
189,spahn,Tier-Lemma
190,mugg,Tier-Lemma
191,gioconda,Tier-Lemma
192,zerflieg,Tier-Lemma
193,auerochsen,Tier-Lemma
194,pater,Tier-Lemma
195,eeser,Tier-Lemma
196,cornu,Tier-Lemma
197,läuschen,Tier-Lemma
198,accusatus,Tier-Lemma
199,pflanzenthier,Tier-Lemma
200,bromly,Tier-Lemma
201,phalaris,Tier-Lemma
202,kalbfell,Tier-Lemma
203,hirnes,Tier-Lemma
204,welsche,Tier-Lemma
205,seepferd,Tier-Lemma
206,großmuth,Tier-Lemma
