Source,Target,Weight,Type
691,751,1,occurs_in_stage_directions
226,752,4,occurs_in_stage_directions
39,752,1,occurs_in_stage_directions
16,752,1,occurs_in_stage_directions
547,752,1,occurs_in_stage_directions
160,753,1,occurs_in_stage_directions
234,753,1,occurs_in_stage_directions
61,753,1,occurs_in_stage_directions
207,754,6,occurs_in_stage_directions
252,754,1,occurs_in_stage_directions
484,755,1,occurs_in_stage_directions
692,755,1,occurs_in_stage_directions
8,756,2,occurs_in_stage_directions
122,757,1,occurs_in_stage_directions
340,763,1,occurs_in_stage_directions
652,763,1,occurs_in_stage_directions
637,764,1,occurs_in_stage_directions
396,765,1,occurs_in_stage_directions
479,765,1,occurs_in_stage_directions
18,765,1,occurs_in_stage_directions
652,765,1,occurs_in_stage_directions
160,765,1,occurs_in_stage_directions
195,765,2,occurs_in_stage_directions
226,765,1,occurs_in_stage_directions
448,765,2,occurs_in_stage_directions
141,766,1,occurs_in_stage_directions
24,766,1,occurs_in_stage_directions
207,766,2,occurs_in_stage_directions
226,767,1,occurs_in_stage_directions
473,769,2,occurs_in_stage_directions
226,771,7,occurs_in_stage_directions
710,771,1,occurs_in_stage_directions
489,771,1,occurs_in_stage_directions
293,772,2,occurs_in_stage_directions
743,772,1,occurs_in_stage_directions
487,772,1,occurs_in_stage_directions
226,775,12,occurs_in_stage_directions
496,775,1,occurs_in_stage_directions
39,775,2,occurs_in_stage_directions
425,775,3,occurs_in_stage_directions
163,775,1,occurs_in_stage_directions
7,775,1,occurs_in_stage_directions
141,775,1,occurs_in_stage_directions
24,775,1,occurs_in_stage_directions
149,775,1,occurs_in_stage_directions
226,776,5,occurs_in_stage_directions
122,776,1,occurs_in_stage_directions
333,777,1,occurs_in_stage_directions
536,777,5,occurs_in_stage_directions
24,777,1,occurs_in_stage_directions
360,777,1,occurs_in_stage_directions
111,777,1,occurs_in_stage_directions
444,777,2,occurs_in_stage_directions
637,777,1,occurs_in_stage_directions
376,777,1,occurs_in_stage_directions
448,777,1,occurs_in_stage_directions
2,777,2,occurs_in_stage_directions
213,777,1,occurs_in_stage_directions
556,777,1,occurs_in_stage_directions
397,779,1,occurs_in_stage_directions
489,779,1,occurs_in_stage_directions
329,780,1,occurs_in_stage_directions
244,781,1,occurs_in_stage_directions
173,783,1,occurs_in_stage_directions
160,783,2,occurs_in_stage_directions
24,783,10,occurs_in_stage_directions
263,783,1,occurs_in_stage_directions
448,783,2,occurs_in_stage_directions
308,783,1,occurs_in_stage_directions
226,783,1,occurs_in_stage_directions
633,783,1,occurs_in_stage_directions
652,783,1,occurs_in_stage_directions
141,783,1,occurs_in_stage_directions
726,783,2,occurs_in_stage_directions
418,783,1,occurs_in_stage_directions
67,783,1,occurs_in_stage_directions
479,783,1,occurs_in_stage_directions
352,783,1,occurs_in_stage_directions
393,783,1,occurs_in_stage_directions
314,783,1,occurs_in_stage_directions
676,786,1,occurs_in_stage_directions
638,786,1,occurs_in_stage_directions
148,787,1,occurs_in_stage_directions
307,787,1,occurs_in_stage_directions
337,787,1,occurs_in_stage_directions
223,787,1,occurs_in_stage_directions
615,788,1,occurs_in_stage_directions
226,788,1,occurs_in_stage_directions
226,789,1,occurs_in_stage_directions
425,790,1,occurs_in_stage_directions
189,790,1,occurs_in_stage_directions
293,790,1,occurs_in_stage_directions
707,790,1,occurs_in_stage_directions
702,790,1,occurs_in_stage_directions
494,790,1,occurs_in_stage_directions
141,790,1,occurs_in_stage_directions
479,790,1,occurs_in_stage_directions
395,791,1,occurs_in_stage_directions
710,795,1,occurs_in_stage_directions
238,795,1,occurs_in_stage_directions
45,795,1,occurs_in_stage_directions
176,795,1,occurs_in_stage_directions
226,795,2,occurs_in_stage_directions
545,795,1,occurs_in_stage_directions
744,796,1,occurs_in_stage_directions
320,796,1,occurs_in_stage_directions
536,797,1,occurs_in_stage_directions
479,797,2,occurs_in_stage_directions
743,797,1,occurs_in_stage_directions
226,800,2,occurs_in_stage_directions
160,801,1,occurs_in_stage_directions
691,801,1,occurs_in_stage_directions
118,801,1,occurs_in_stage_directions
19,801,1,occurs_in_stage_directions
570,801,1,occurs_in_stage_directions
489,801,1,occurs_in_stage_directions
312,801,1,occurs_in_stage_directions
88,802,1,occurs_in_stage_directions
561,802,1,occurs_in_stage_directions
448,802,7,occurs_in_stage_directions
572,802,1,occurs_in_stage_directions
579,802,1,occurs_in_stage_directions
477,802,1,occurs_in_stage_directions
93,802,1,occurs_in_stage_directions
422,803,1,occurs_in_stage_directions
202,803,1,occurs_in_stage_directions
222,803,1,occurs_in_stage_directions
551,803,1,occurs_in_stage_directions
366,805,1,occurs_in_stage_directions
564,805,3,occurs_in_stage_directions
691,806,1,occurs_in_stage_directions
349,808,14,occurs_in_stage_directions
94,808,1,occurs_in_stage_directions
351,808,1,occurs_in_stage_directions
252,809,2,occurs_in_stage_directions
489,809,1,occurs_in_stage_directions
513,809,1,occurs_in_stage_directions
226,809,2,occurs_in_stage_directions
405,811,1,occurs_in_stage_directions
558,811,3,occurs_in_stage_directions
80,813,3,occurs_in_stage_directions
743,813,7,occurs_in_stage_directions
423,813,4,occurs_in_stage_directions
725,813,5,occurs_in_stage_directions
350,813,7,occurs_in_stage_directions
494,813,2,occurs_in_stage_directions
479,813,4,occurs_in_stage_directions
490,813,1,occurs_in_stage_directions
448,813,3,occurs_in_stage_directions
