Id,Label,Type
0,granatbaum,Pflanze-Lemma
1,knäuel,Pflanze-Lemma
2,parasol,Pflanze-Lemma
3,mehlwurm,Pflanze-Lemma
4,reis,Pflanze-Lemma
5,mandarin,Pflanze-Lemma
6,teeblätter,Pflanze-Lemma
7,rosette,Pflanze-Lemma
8,erlenbusch,Pflanze-Lemma
9,garnknäuel,Pflanze-Lemma
10,korbe,Pflanze-Lemma
11,lilie,Pflanze-Lemma
12,baumstämme,Pflanze-Lemma
13,brosamen,Pflanze-Lemma
14,baumkrone,Pflanze-Lemma
15,pflug,Pflanze-Lemma
16,rosenessenz,Pflanze-Lemma
17,baumgang,Pflanze-Lemma
18,gärtner,Pflanze-Lemma
19,kräuter,Pflanze-Lemma
20,sichel,Pflanze-Lemma
21,buch,Pflanze-Lemma
22,heuschuppe,Pflanze-Lemma
23,parkbaum,Pflanze-Lemma
24,oleanderbaum,Pflanze-Lemma
25,baumallee,Pflanze-Lemma
26,baumstümpf,Pflanze-Lemma
27,geigenstrich,Pflanze-Lemma
28,flora,Pflanze-Lemma
29,stroh,Pflanze-Lemma
30,litanei,Pflanze-Lemma
31,paravent,Pflanze-Lemma
32,birkenrut,Pflanze-Lemma
33,baumkron,Pflanze-Lemma
34,laurett,Pflanze-Lemma
35,drange,Pflanze-Lemma
36,buschenlaube,Pflanze-Lemma
37,kameel,Pflanze-Lemma
38,zorn,Pflanze-Lemma
39,weidenkorb,Pflanze-Lemma
40,kartoffel,Pflanze-Lemma
41,weidengebüsch,Pflanze-Lemma
42,muschel,Pflanze-Lemma
43,fliederbaum,Pflanze-Lemma
44,amazonen,Pflanze-Lemma
45,blühdorn,Pflanze-Lemma
46,been,Pflanze-Lemma
47,spirwes,Pflanze-Lemma
48,lorbeerbäum,Pflanze-Lemma
49,lenore,Pflanze-Lemma
50,büschel,Pflanze-Lemma
51,erdäpfel,Pflanze-Lemma
52,rosenkränze,Pflanze-Lemma
53,hagebuttenkränzchen,Pflanze-Lemma
54,gestatt,Pflanze-Lemma
55,knoll,Pflanze-Lemma
56,salome,Pflanze-Lemma
57,venusstatue,Pflanze-Lemma
58,tulpenstrauß,Pflanze-Lemma
59,hafi,Pflanze-Lemma
60,rosenkranzes,Pflanze-Lemma
61,perside,Pflanze-Lemma
62,blumengewinde,Pflanze-Lemma
63,palmenzweig,Pflanze-Lemma
64,blümlein,Pflanze-Lemma
65,gänsefed,Pflanze-Lemma
66,obstbäume,Pflanze-Lemma
67,ambivar,Pflanze-Lemma
68,trieb,Pflanze-Lemma
69,stämmen,Pflanze-Lemma
70,sternblume,Pflanze-Lemma
71,rüben,Pflanze-Lemma
72,smyrnateppich,Pflanze-Lemma
73,mangold,Pflanze-Lemma
74,äolsharfe,Pflanze-Lemma
75,sträuchern,Pflanze-Lemma
76,krautes,Pflanze-Lemma
