Source,Target,Weight,Type
65,986,1,occurs_in_stage
907,986,1,occurs_in_stage
170,986,1,occurs_in_stage
707,986,1,occurs_in_stage
698,987,3,occurs_in_stage
582,987,1,occurs_in_stage
650,987,1,occurs_in_stage
152,987,1,occurs_in_stage
853,987,2,occurs_in_stage
446,988,1,occurs_in_stage
126,988,1,occurs_in_stage
263,988,1,occurs_in_stage
615,988,1,occurs_in_stage
765,988,1,occurs_in_stage
79,988,1,occurs_in_stage
842,988,1,occurs_in_stage
323,989,2,occurs_in_stage
418,991,1,occurs_in_stage
79,991,1,occurs_in_stage
707,991,1,occurs_in_stage
914,993,1,occurs_in_stage
322,993,1,occurs_in_stage
345,996,1,occurs_in_stage
582,999,1,occurs_in_stage
10,999,1,occurs_in_stage
343,999,1,occurs_in_stage
72,999,1,occurs_in_stage
791,999,4,occurs_in_stage
737,999,1,occurs_in_stage
928,999,1,occurs_in_stage
344,1000,1,occurs_in_stage
959,1005,1,occurs_in_stage
680,1005,1,occurs_in_stage
404,1005,4,occurs_in_stage
786,1007,1,occurs_in_stage
165,1007,1,occurs_in_stage
557,1007,2,occurs_in_stage
530,1007,1,occurs_in_stage
68,1008,1,occurs_in_stage
707,1008,2,occurs_in_stage
323,1008,1,occurs_in_stage
523,1008,1,occurs_in_stage
707,1009,1,occurs_in_stage
530,1010,1,occurs_in_stage
112,1011,1,occurs_in_stage
907,1011,1,occurs_in_stage
6,1014,1,occurs_in_stage
609,1014,1,occurs_in_stage
286,1015,1,occurs_in_stage
34,1015,1,occurs_in_stage
609,1017,1,occurs_in_stage
692,1017,1,occurs_in_stage
64,1017,2,occurs_in_stage
791,1017,2,occurs_in_stage
685,1017,1,occurs_in_stage
954,1017,1,occurs_in_stage
924,1017,1,occurs_in_stage
596,1017,13,occurs_in_stage
762,1017,3,occurs_in_stage
553,1017,1,occurs_in_stage
299,1017,1,occurs_in_stage
530,1019,1,occurs_in_stage
704,1021,1,occurs_in_stage
156,1021,2,occurs_in_stage
128,1021,1,occurs_in_stage
272,1021,3,occurs_in_stage
44,1021,1,occurs_in_stage
604,1021,1,occurs_in_stage
768,1021,3,occurs_in_stage
941,1021,1,occurs_in_stage
674,1021,1,occurs_in_stage
269,1021,1,occurs_in_stage
801,1021,1,occurs_in_stage
73,1021,1,occurs_in_stage
495,1021,1,occurs_in_stage
967,1021,1,occurs_in_stage
707,1021,1,occurs_in_stage
230,1021,1,occurs_in_stage
680,1022,1,occurs_in_stage
969,1022,1,occurs_in_stage
64,1022,1,occurs_in_stage
