Id,Label,Type
0,freskorausch,Tier-Lemma
1,cyrus,Tier-Lemma
2,mehlwurm,Tier-Lemma
3,coelestina,Tier-Lemma
4,knix,Tier-Lemma
5,möve,Tier-Lemma
6,jagdhörner,Tier-Lemma
7,cäcilia,Tier-Lemma
8,kraniche,Tier-Lemma
9,hundekopf,Tier-Lemma
10,husarum,Tier-Lemma
11,hinz,Tier-Lemma
12,chloe,Tier-Lemma
13,selinus,Tier-Lemma
14,lohengrin,Tier-Lemma
15,adelaid,Tier-Lemma
16,falke,Tier-Lemma
17,mäuse,Tier-Lemma
18,meerkätzchen,Tier-Lemma
19,bauernpferde,Tier-Lemma
20,hühneraugen,Tier-Lemma
21,katzenbuckel,Tier-Lemma
22,froschgequake,Tier-Lemma
23,tigerin,Tier-Lemma
24,pumphia,Tier-Lemma
25,fähnrich,Tier-Lemma
26,brangan,Tier-Lemma
27,hausthür,Tier-Lemma
28,schweis,Tier-Lemma
29,euporu,Tier-Lemma
30,katelli,Tier-Lemma
31,schweifkomete,Tier-Lemma
32,negligé,Tier-Lemma
33,dorin,Tier-Lemma
34,flügel,Tier-Lemma
35,gaul,Tier-Lemma
36,alekto,Tier-Lemma
37,phönix,Tier-Lemma
38,maulwurf,Tier-Lemma
39,sichel,Tier-Lemma
40,kähn,Tier-Lemma
41,flederwische,Tier-Lemma
42,medon,Tier-Lemma
43,hummer,Tier-Lemma
44,haiducke,Tier-Lemma
45,tonlos,Tier-Lemma
46,tierfelle,Tier-Lemma
47,schwanzfeder,Tier-Lemma
48,untier,Tier-Lemma
49,hute,Tier-Lemma
50,samo,Tier-Lemma
51,rük,Tier-Lemma
52,roßschweif,Tier-Lemma
53,lel,Tier-Lemma
54,bulla,Tier-Lemma
55,kaninchen,Tier-Lemma
56,avaren,Tier-Lemma
57,papillonsflügeln,Tier-Lemma
58,stachelhalsband,Tier-Lemma
59,bariton,Tier-Lemma
60,rapiere,Tier-Lemma
61,schellengebimmel,Tier-Lemma
62,augustjani,Tier-Lemma
63,wrschowetz,Tier-Lemma
64,tier,Tier-Lemma
65,straußenfeder,Tier-Lemma
66,bullabutän,Tier-Lemma
67,kameel,Tier-Lemma
68,rabe,Tier-Lemma
69,muschel,Tier-Lemma
70,geierhalse,Tier-Lemma
71,dardonius,Tier-Lemma
72,amazonen,Tier-Lemma
73,mägde,Tier-Lemma
74,stierkopf,Tier-Lemma
75,ziegenfell,Tier-Lemma
76,schweinskopf,Tier-Lemma
77,klementina,Tier-Lemma
78,maultier,Tier-Lemma
79,vogel,Tier-Lemma
80,libussen,Tier-Lemma
81,meerkälber,Tier-Lemma
82,sphinx,Tier-Lemma
83,puffapuff,Tier-Lemma
84,luchsauge,Tier-Lemma
85,kahn,Tier-Lemma
86,fröschlein,Tier-Lemma
